id,yr,worry_cchange,prezjob_envt,prezjob_energy,govprotect,envt1,envt2,econ_v_envt,engy_v_envt,envworry_toxicwst,envworry_radioactivity,gw_understand,gw_serious,gw_laws_econ,fracking,energyserious,energy_shortage,solution_conserv,nucfav,nucsafe,nucfav_area,fav_nuclear,fav_openland,fav_mandateC02,fav_solar,fav_altfuel,fav_mandateC02bus,fav_engylimits,fav_coal,emph_coal,emph_oil,emph_ngas,emph_wind,emph_solar,emph_nuclear,favor_reduce_fossil,envdone_vote,envdone_reduce,envdone_petition,envdone_stocks,envtrust_congress,envtrust_reps,envtrust_dems,pay100more,environmentalist,econ1,econ2,arealive_rec,age,educ,party,jobtype,religion,nucfav_binary,nuclear_target
1006,2004,,Good job,Good job,,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,Only a little,,Fairly well,Generally underestimated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,,,,,,Fair,DK,,52.0,HS or Less,Republican,,,Favor,1
1,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Not very well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,A moderate amount,,,Good,Getting Better,,20.0,Some college,Republican,,Catholic,Favor,1
4,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Very well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Nothing at all,Not much,,,Fair,Getting Worse,,55.0,HS or Less,Lean Republican,,Catholic,Favor,1
5,2005,,Good job,Good job,,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Fairly well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,,,Good,Getting Better,,42.0,College Grad only,Republican,,Protestant,Favor,1
8,2005,,Fair/Mixed (VOL),Fair/Mixed (VOL),,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",,,Not very well,Generally underestimated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Poor,Getting Worse,,60.0,HS or Less,,,,Oppose,0
10,2005,,Poor job,Good job,,Good,Same (VOL),"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Good,Getting Better,,50.0,College Grad only,Republican,,,Oppose,0
11,2005,,Poor job,Poor job,,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Neither/Other (VOL),,,Fairly well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Fair,Getting Worse,,58.0,Post-grad,Democrat,,Catholic,Oppose,0
12,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",,,Not very well,Generally exaggerated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,A moderate amount,,,Good,Getting Worse,,20.0,Some college,Democrat,,Other Christian,Favor,1
13,2005,,Poor job,Poor job,,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",,,Not at all,Gennerally correct,,,Fairly serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Nothing at all,Nothing at all,Nothing at all,,,Fair,Getting Worse,,67.0,Some college,Lean Democratic,,Protestant,Favor,1
14,2005,,Good job,Good job,,Good,Getting Better,Equal Priority (VOL),Neither/Other (VOL),,,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is",Neither/Other (VOL),Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Good,Getting Better,,50.0,Post-grad,Lean Republican,,Protestant,Favor,1
18,2005,,Poor job,Poor job,,Poor,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Not very well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Strongly oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Nothing at all,A moderate amount,,,Fair,Getting Worse,,58.0,College Grad only,Democrat,,Catholic,Oppose,0
19,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,Not much,A moderate amount,,,Fair,Getting Better,,66.0,HS or Less,Lean Democratic,,Protestant,Favor,1
21,2005,,Good job,Poor job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Fairly well,Generally underestimated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,,,Poor,Getting Better,,53.0,College Grad only,Republican,,Other Christian,Favor,1
23,2005,,Poor job,Poor job,,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Fairly well,Generally underestimated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,A moderate amount,Nothing at all,Not much,,,Good,Getting Better,,87.0,Some college,Lean Democratic,,Catholic,Oppose,0
24,2005,,Good job,Good job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Fair,Getting Worse,,41.0,Some college,Republican,,Protestant,Oppose,0
27,2005,,Good job,Poor job,,Good,Same (VOL),"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,Nothing at all,,,Fair,Getting Better,,67.0,College Grad only,"Independent, no lean",,Atheist,Favor,1
28,2005,,Good job,Good job,,Excellent,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Nothing at all,A moderate amount,A moderate amount,,,Good,Getting Better,,33.0,HS or Less,Lean Republican,,Protestant,Favor,1
31,2005,,Good job,Good job,,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,,,,,,,,,,,,,,,,,,,,Not much,A moderate amount,Nothing at all,,,Fair,Getting Better,,29.0,Post-grad,Republican,,Protestant,Favor,1
32,2005,,DK,DK,,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,DK,DK,DK,,,Fair,Getting Worse,,63.0,College Grad only,Republican,,Other,Favor,1
34,2005,,Good job,Good job,,Excellent,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Very well,Generally exaggerated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,,,Good,Getting Better,,55.0,Post-grad,Republican,,Catholic,Favor,1
37,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Generally underestimated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Nothing at all,Not much,Not much,,,Poor,Getting Worse,,35.0,Some college,Democrat,,Protestant,Favor,1
39,2005,,Good job,Fair/Mixed (VOL),,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Very serious,"Yes, is",Both Equally (VOL),Strongly oppose,,,,,,,,,,,,,,,,,,,,,,A great deal,A great deal,Nothing at all,,,Good,Getting Better,,49.0,HS or Less,Lean Republican,,Catholic,Oppose,0
43,2005,,Poor job,Poor job,,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Generally underestimated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Nothing at all,A moderate amount,,,Fair,Getting Worse,,42.0,College Grad only,"Independent, no lean",,Protestant,Oppose,0
44,2005,,Good job,Fair/Mixed (VOL),,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A great deal,A great deal,A great deal,,,Good,Getting Better,,74.0,College Grad only,Republican,,Protestant,Favor,1
51,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Not very well,Gennerally correct,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,,,Fair,Getting Worse,,58.0,HS or Less,Lean Republican,,Protestant,Oppose,0
53,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Not very well,Generally underestimated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Nothing at all,Nothing at all,,,Fair,Getting Worse,,36.0,HS or Less,Lean Republican,,Catholic,Oppose,0
55,2005,,Good job,Good job,,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally underestimated,,,Very serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly oppose,,,,,,,,,,,,,,,,,,,,,,Nothing at all,Not much,Not much,,,Good,Getting Worse,,68.0,Post-grad,Republican,,Protestant,Oppose,0
56,2005,,Fair/Mixed (VOL),Poor job,,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Gennerally correct,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Strongly oppose,,,,,,,,,,,,,,,,,,,,,,Nothing at all,A moderate amount,A moderate amount,,,Fair,Getting Worse,,,DK/REF,,,REF,Oppose,0
60,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Generally underestimated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Fair,Getting Worse,,43.0,Some college,Lean Democratic,,Protestant,Oppose,0
62,2005,,Good job,Good job,,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Not very well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,Nothing at all,,,Good,Same (VOL),,70.0,Some college,Lean Republican,,Protestant,Oppose,0
63,2005,,Poor job,Poor job,,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Gennerally correct,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,Not much,Nothing at all,Not much,,,Good,Same (VOL),,37.0,Post-grad,Democrat,,Protestant,Favor,1
65,2005,,Good job,Good job,,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally underestimated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,Nothing at all,,,Good,Getting Better,,76.0,Some college,Republican,,Protestant,Favor,1
68,2005,,Poor job,Good job,,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Not very well,Generally exaggerated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,Not much,,,Fair,Getting Worse,,49.0,College Grad only,Lean Republican,,Protestant,Favor,1
70,2005,,Good job,Good job,,Excellent,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Fairly well,Generally underestimated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Strongly oppose,,,,,,,,,,,,,,,,,,,,,,A great deal,Nothing at all,Nothing at all,,,Fair,Getting Better,,47.0,DK/REF,Democrat,,Catholic,Oppose,0
72,2005,,Poor job,Poor job,,Good,Same (VOL),"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Gennerally correct,,,Very serious,"No, is not",Both Equally (VOL),Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,A moderate amount,A moderate amount,,,Fair,Getting Worse,,61.0,College Grad only,Democrat,,Protestant,Favor,1
78,2005,,DK,Good job,,Only Fair,Same (VOL),"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Not very well,DK,,,Very serious,"Yes, is",DK,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,DK,DK,A moderate amount,,,Poor,Getting Worse,,64.0,HS or Less,Democrat,,Protestant,Oppose,0
80,2005,,Poor job,Poor job,,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,Not much,A moderate amount,,,Fair,Getting Better,,33.0,HS or Less,Lean Republican,,Protestant,Favor,1
81,2005,,Good job,Good job,,Good,Getting Better,Equal Priority (VOL),Both Equally (VOL),,,Fairly well,Generally underestimated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Good,Getting Better,,58.0,Some college,Lean Republican,,Other Christian,Favor,1
83,2005,,Good job,Good job,,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth",Both Equally (VOL),,,Fairly well,Gennerally correct,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,Not much,,,Good,Getting Better,,46.0,Some college,Republican,,Protestant,Favor,1
87,2005,,Good job,Poor job,,Good,Getting Better,REF,REF,,,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,Nothing at all,Nothing at all,Nothing at all,,,Good,Getting Better,,51.0,College Grad only,Republican,,Protestant,Favor,1
88,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Generally underestimated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,A moderate amount,,,Good,Getting Better,,54.0,Some college,Democrat,,Protestant,Favor,1
95,2005,,Poor job,Poor job,,Only Fair,Getting Worse,Equal Priority (VOL),Both Equally (VOL),,,Very well,Gennerally correct,,,Very serious,"Yes, is",Both Equally (VOL),Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Fair,Getting Worse,,33.0,Post-grad,Lean Democratic,,Protestant,Favor,1
96,2005,,Poor job,Poor job,,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Good,Getting Better,,50.0,Some college,Lean Republican,,Protestant,Favor,1
97,2005,,Poor job,Poor job,,Only Fair,Getting Worse,Equal Priority (VOL),Developing Energy Supplies Given Priority,,,Very well,Generally exaggerated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A great deal,A great deal,,,Fair,Same (VOL),,22.0,Some college,Democrat,,Catholic,Favor,1
99,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,A moderate amount,A great deal,,,Good,Getting Worse,,37.0,Some college,Republican,,Protestant,Favor,1
100,2005,,Good job,DK,,Good,DK,Equal Priority (VOL),Developing Energy Supplies Given Priority,,,Not very well,Generally exaggerated,,,DK,"No, is not",Emphasize more conservation by consumers,Strongly oppose,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A great deal,Not much,,,Fair,Getting Worse,,35.0,College Grad only,Lean Republican,,Protestant,Oppose,0
102,2005,,Fair/Mixed (VOL),DK,,Only Fair,Same (VOL),"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Fairly well,DK,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,Not much,,,Good,Getting Worse,,,HS or Less,Lean Democratic,,Protestant,Oppose,0
103,2005,,Poor job,Poor job,,Poor,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Fairly well,Generally underestimated,,,Very serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Strongly favor,,,,,,,,,,,,,,,,,,,,,,Nothing at all,Nothing at all,A great deal,,,Poor,Getting Worse,,79.0,College Grad only,Democrat,,Other,Favor,1
104,2005,,Poor job,Poor job,,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,,,Fair,Getting Better,,24.0,College Grad only,Republican,,Orthodox,Favor,1
106,2005,,Good job,Poor job,,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is",Both Equally (VOL),Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,A moderate amount,A moderate amount,,,Good,Getting Better,,36.0,College Grad only,Republican,,Catholic,Favor,1
108,2005,,Poor job,Poor job,,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Not very well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Fair,Same (VOL),,64.0,HS or Less,Democrat,,Protestant,Favor,1
109,2005,,Fair/Mixed (VOL),Good job,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Very well,Generally underestimated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Excellent,Getting Better,,54.0,Some college,Republican,,Protestant,Favor,1
110,2005,,Good job,Poor job,,Only Fair,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Generally underestimated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,,,Good,Getting Better,,32.0,College Grad only,Lean Republican,,Protestant,Favor,1
111,2005,,Good job,Good job,,Excellent,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Very well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A great deal,A great deal,A great deal,,,Excellent,Getting Better,,43.0,College Grad only,Republican,,Catholic,Favor,1
117,2005,,Good job,Good job,,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,Not much,A moderate amount,DK,,,Good,Getting Better,,64.0,College Grad only,,,REF,Favor,1
118,2005,,Poor job,Poor job,,Poor,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Generally underestimated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Strongly oppose,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,A great deal,,,Fair,Getting Worse,,37.0,HS or Less,Democrat,,Catholic,Oppose,0
119,2005,,Poor job,Poor job,,Poor,Getting Worse,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Not at all,Generally underestimated,,,Not at all serious,"Yes, is","Emphasize production of more oil, gas and coal supplies",Strongly oppose,,,,,,,,,,,,,,,,,,,,,,A great deal,Nothing at all,A great deal,,,Poor,Getting Worse,,52.0,HS or Less,Lean Democratic,,Protestant,Oppose,0
120,2005,,Good job,Good job,,Good,REF,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Not at all,Generally exaggerated,,,Not at all serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Strongly oppose,,,,,,,,,,,,,,,,,,,,,,Nothing at all,A great deal,A great deal,,,Good,REF,,88.0,Some college,"Independent, no lean",,,Oppose,0
122,2005,,Good job,DK,,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Neither/Other (VOL),,,Fairly well,Generally underestimated,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,Not much,Not much,,,Fair,Getting Worse,,30.0,Some college,Republican,,Protestant,Favor,1
123,2005,,Fair/Mixed (VOL),Fair/Mixed (VOL),,Only Fair,Getting Worse,"Protect Environment, even at risk of curbing economic growth",Developing Energy Supplies Given Priority,,,Not very well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Not much,Not much,,,Good,Getting Better,,63.0,College Grad only,Republican,,Protestant,Favor,1
124,2005,,Good job,Poor job,,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Fairly well,Generally exaggerated,,,Fairly serious,"Yes, is",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,Nothing at all,Not much,Nothing at all,,,Good,Getting Better,,32.0,College Grad only,Republican,,Protestant,Oppose,0
126,2005,,Poor job,Poor job,,Good,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,Not much,Nothing at all,Nothing at all,,,Good,Getting Worse,,57.0,Some college,"Independent, no lean",,Catholic,Favor,1
127,2005,,Good job,DK,,Only Fair,Getting Better,"Protect Environment, even at risk of curbing economic growth",Neither/Other (VOL),,,Fairly well,Gennerally correct,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,,,Good,Getting Better,,47.0,Some college,Republican,,Protestant,Favor,1
128,2005,,Good job,Good job,,Only Fair,Getting Better,DK,"Protect Enviornment, even at risk of limiting energy supplies",,,Not very well,Generally underestimated,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,A moderate amount,A moderate amount,A moderate amount,,,Poor,Getting Better,,66.0,HS or Less,Democrat,,Protestant,Oppose,0
130,2005,,Poor job,Poor job,,Good,Getting Worse,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Very well,Gennerally correct,,,Very serious,"Yes, is",Emphasize more conservation by consumers,Strongly favor,,,,,,,,,,,,,,,,,,,,,,A moderate amount,Not much,A moderate amount,,,Good,Getting Better,,32.0,Post-grad,Democrat,,Protestant,Favor,1
133,2005,,Good job,Good job,,Good,DK,"Economic Growth Priority, even if enviornment suffers to some extent",Developing Energy Supplies Given Priority,,,Fairly well,Gennerally correct,,,Fairly serious,"No, is not","Emphasize production of more oil, gas and coal supplies",Somewhat favor,,,,,,,,,,,,,,,,,,,,,,DK,A moderate amount,A moderate amount,,,Good,Getting Better,,61.0,Some college,"Independent, no lean",,,Favor,1
134,2005,,Good job,Poor job,,Only Fair,Getting Better,"Economic Growth Priority, even if enviornment suffers to some extent",Both Equally (VOL),,,Fairly well,DK,,,Not at all serious,"No, is not",Emphasize more conservation by consumers,Strongly oppose,,,,,,,,,,,,,,,,,,,,,,A great deal,A great deal,A great deal,,,Poor,Getting Worse,,51.0,HS or Less,Lean Democratic,,,Oppose,0
139,2005,,Poor job,Good job,,Good,Getting Better,"Protect Environment, even at risk of curbing economic growth","Protect Enviornment, even at risk of limiting energy supplies",,,Not very well,Generally exaggerated,,,Fairly serious,"No, is not",Emphasize more conservation by consumers,Somewhat oppose,,,,,,,,,,,,,,,,,,,,,,A great deal,A great deal,A great deal,,,Fair,Getting Better,,26.0,College Grad only,Lean Republican,,Protestant,Oppose,0
